times,supply,demand
2013-01-01,4.533333333333333,5.4
2013-01-02,4.611523859808476,5.371726185764927
2013-01-03,4.689730866974647,5.348722019088905
2013-01-04,4.767902837625599,5.330830162662251
2013-01-05,4.845988254555096,5.31789327917529
2013-01-06,4.923935600556892,5.3097540313183424
2013-01-07,5.00169335842475,5.306255081781729
2013-01-08,5.0792100109524245,5.307239093255774
2013-01-09,5.156434040933674,5.312548728430797
2013-01-10,5.233313931162257,5.322026649997122
2013-01-11,5.309798164431934,5.33551552064507
2013-01-12,5.38583522353646,5.352858003064962
2013-01-13,5.461373591269597,5.373896759947121
2013-01-14,5.536361750425098,5.398474453981866
2013-01-15,5.610748183796725,5.426433747859521
2013-01-16,5.684481374178237,5.45761730427041
2013-01-17,5.75750980436339,5.491867785904848
2013-01-18,5.829781957145943,5.5290278554531636
2013-01-19,5.9012463153196535,5.568940175605676
2013-01-20,5.971851361678282,5.611447409052707
2013-01-21,6.041545579015587,5.65639221848458
2013-01-22,6.110277450125323,5.703617266591613
2013-01-23,6.177995457801251,5.7529652160641325
2013-01-24,6.244648084837128,5.804278729592455
2013-01-25,6.310183814026715,5.857400469866906
2013-01-26,6.374551128163768,5.912173099577808
2013-01-27,6.4376985100420425,5.9684392814154785
2013-01-28,6.4995744424553035,6.026041678070245
2013-01-29,6.560127408197303,6.0848229522324235
2013-01-30,6.619305890061804,6.144625766592339
2013-01-31,6.677058370842559,6.205292783840312
2013-02-01,6.733333333333333,6.266666666666667
2013-02-02,6.788079260327881,6.3285900777617226
2013-02-03,6.841244634619961,6.390905679815804
2013-02-04,6.892777939003332,6.453456135519229
2013-02-05,6.942627656271752,6.516084107562322
2013-02-06,6.990742269218976,6.578632258635403
2013-02-07,7.03707026063877,6.640943251428793
2013-02-08,7.081560113324885,6.702859748632818
2013-02-09,7.124160310071086,6.764224412937799
2013-02-10,7.164819333671122,6.824879907034054
2013-02-11,7.203485666918757,6.884668893611905
2013-02-12,7.240107792607754,6.943434035361679
2013-02-13,7.274634193531862,7.001017994973693
2013-02-14,7.3070133524848435,7.057263435138271
2013-02-15,7.337193752260458,7.112013018545732
2013-02-16,7.365123875652459,7.165109407886401
2013-02-17,7.390752205454612,7.216395265850599
2013-02-18,7.414027224460672,7.265713255128649
2013-02-19,7.434897415464394,7.312906038410868
2013-02-20,7.4533112612595405,7.357816278387583
2013-02-21,7.469217244639867,7.400286637749113
2013-02-22,7.482563848399133,7.440159779185779
2013-02-23,7.493299555331101,7.477278365387908
2013-02-24,7.501372848229518,7.511485059045814
2013-02-25,7.5067322098881535,7.542622522849827
2013-02-26,7.50932612310076,7.5705334194902605
2013-02-27,7.509103070661099,7.595060411657444
2013-02-28,7.506011535362927,7.616046162041694
2013-03-01,7.5,7.633333333333334
2013-03-02,7.491057756855713,7.6468269233333395
2013-03-03,7.47933733617198,7.656681270285305
2013-03-04,7.465032077680352,7.663113047543475
2013-03-05,7.448335321112377,7.666338928462094
2013-03-06,7.429440406199607,7.666575586395418
2013-03-07,7.408540672673589,7.664039694697681
2013-03-08,7.385829460265875,7.658947926723142
2013-03-09,7.361500108708009,7.651516955826037
2013-03-10,7.3357459577315485,7.641963455360621
2013-03-11,7.308760347068035,7.630504098681137
2013-03-12,7.280736616449025,7.6173555591418305
2013-03-13,7.251868105606064,7.602734510096952
2013-03-14,7.222348154270701,7.586857624900745
2013-03-15,7.192370102174487,7.569941576907457
2013-03-16,7.1621272890489704,7.552203039471337
2013-03-17,7.131813054625701,7.533858685946628
2013-03-18,7.101620738636229,7.515125189687579
2013-03-19,7.071743680812105,7.496219224048436
2013-03-20,7.042375220884877,7.4773574623834484
2013-03-21,7.013708698586091,7.4587565780468585
2013-03-22,6.985937453647302,7.440633244392914
2013-03-23,6.959254825800057,7.423204134775866
2013-03-24,6.933854154775905,7.406685922549956
2013-03-25,6.909928780306398,7.391295281069435
2013-03-26,6.887672042123083,7.377248883688547
2013-03-27,6.8672772799575075,7.364763403761535
2013-03-28,6.848937833541225,7.3540555146426545
2013-03-29,6.832847042605787,7.345341889686148
2013-03-30,6.819198246882734,7.338839202246261
2013-03-31,6.808184786103622,7.334764125677238
2013-04-01,6.800000000000001,7.333333333333333
2013-04-02,6.794820113912944,7.334719250362687
2013-04-03,6.792752895621626,7.338917309089035
2013-04-04,6.7938889985147535,7.3458786936300084
2013-04-05,6.798319075981026,7.355554588103247
2013-04-06,6.8061337814091445,7.367896176626382
2013-04-07,6.8174237681878145,7.382854643317043
2013-04-08,6.832279689705738,7.400381172292873
2013-04-09,6.850792199351613,7.420426947671499
2013-04-10,6.873051950514147,7.442943153570558
2013-04-11,6.8991495965820375,7.467880974107677
